feature_index	feature_index	vector	max_distance	v_gene	j_gene	cdr3_aa_length
12	607	[-0.08696579933166504, -0.22537721693515778, -0.31248870491981506, 0.7294241786003113, 0.28086087107658386, 0.028009911999106407, 0.533980667591095, 0.029179910197854042, 0.6061215996742249, 0.26562994718551636]	0.15	IGKV1	IGKJ1	5.0
13	624	[-0.13867123425006866, 0.16866755485534668, -0.5236251950263977, 0.9887827038764954, -0.2192307412624359, -0.14008668065071106, 0.4321870803833008, -0.35047951340675354, -0.005432169884443283, 0.6691787242889404]	0.15	IGKV1	IGKJ1	5.0
14	673	[0.2107604444026947, -0.3101557195186615, 0.43464693427085876, 0.7651009559631348, 0.20368030667304993, 0.3256954550743103, 0.43398451805114746, 0.06900812685489655, 0.3606148362159729, 0.006042007356882095]	0.15	IGKV1	IGKJ1	5.0
15	684	[-0.6982461810112, -0.5471858978271484, -0.026381036266684532, 1.205504298210144, 0.3229760527610779, 0.203839972615242, 0.06770730763673782, 0.08927350491285324, 0.24703951179981232, -0.4730868339538574]	0.15	IGKV1	IGKJ1	5.0
16	1778	[0.1215691789984703, -0.012975501827895641, 0.1359645426273346, 1.0138789415359497, -0.05231287330389023, 0.49234113097190857, 0.488133043050766, 0.5137175917625427, 0.17143234610557556, -0.041472624987363815]	0.15	IGKV1	IGKJ1	6.0
17	2181	[0.3489587604999542, -0.25698521733283997, -0.14812149107456207, 0.9980049729347229, 0.06863806396722794, 0.3294046223163605, 0.4217601418495178, 0.04466025531291962, 0.04560729116201401, -0.42897552251815796]	0.15	IGKV1	IGKJ1	7.0
18	2193	[0.24726828932762146, -0.2679595649242401, 0.15141622722148895, 0.817772388458252, -0.082055002450943, 0.2452346682548523, 0.600374698638916, 0.3587226867675781, 0.39266353845596313, 0.6394478678703308]	0.15	IGKV1	IGKJ1	7.0
19	2247	[-0.09579131752252579, 0.5902627110481262, 0.324709415435791, 1.2955892086029053, 0.27653756737709045, 1.2864395380020142, 0.6943287253379822, 0.021944377571344376, 0.02023889124393463, 0.2007673978805542]	0.15	IGKV1	IGKJ1	7.0
20	2718	[-0.1160585880279541, 0.42080992460250854, 0.3232216536998749, 1.2952220439910889, 0.5764517784118652, 1.1537095308303833, 0.3747955560684204, -0.0029887265991419554, 0.234885573387146, 0.24001531302928925]	0.15	IGKV1	IGKJ1	8.0
21	2750	[0.16728965938091278, 0.1782035380601883, 0.20712018013000488, 1.1789882183074951, 0.43696752190589905, 0.7321869134902954, 0.37319299578666687, -0.03954188525676727, -0.018833782523870468, -0.2078973352909088]	0.15	IGKV1	IGKJ1	8.0
22	2795	[-0.07362218201160431, -0.16542929410934448, 0.4004881680011749, 1.062187671661377, 0.06538867205381393, 0.21778003871440887, 0.4160553514957428, 0.015099924989044666, -0.1236761137843132, 0.22109569609165192]	0.15	IGKV1	IGKJ1	8.0
23	2799	[-0.161737859249115, -0.03239961713552475, 0.2239999771118164, 0.9779514074325562, 0.3048417866230011, 0.5107505917549133, 0.5849368572235107, 0.19080819189548492, 0.21153707802295685, -0.12571540474891663]	0.15	IGKV1	IGKJ1	8.0
24	2838	[0.1992679387331009, -0.09665791690349579, 0.28041377663612366, 0.9875698089599609, -0.007972760125994682, 0.46280211210250854, 0.4084196984767914, 0.4827931821346283, 0.4636301100254059, -0.00877870712429285]	0.15	IGKV1	IGKJ1	8.0
25	2842	[0.4751242995262146, 0.3030182123184204, 0.3124343156814575, 1.2446770668029785, -0.225394144654274, 0.7257418036460876, 0.409950852394104, -0.25110161304473877, 0.16714395582675934, 0.13793271780014038]	0.15	IGKV1	IGKJ1	8.0
26	2853	[0.2590220868587494, 0.39960822463035583, 0.3145240545272827, 1.1474040746688843, -0.10282940417528152, 0.7940793633460999, 0.6734294295310974, 0.13644255697727203, 0.007265888620167971, 0.15256740152835846]	0.15	IGKV1	IGKJ1	8.0
27	2941	[0.06420117616653442, -0.3518124520778656, -0.20401984453201294, 0.890207827091217, 0.07498905807733536, 0.6824873089790344, 0.6773205399513245, 0.1744728833436966, 0.18087652325630188, -0.2582660913467407]	0.15	IGKV1	IGKJ1	8.0
28	2948	[0.03779159113764763, -0.47800955176353455, 0.021496161818504333, 0.7500803470611572, 0.18860499560832977, 0.013147394172847271, 0.720833957195282, 0.19775164127349854, 0.40165480971336365, -0.4646492004394531]	0.15	IGKV1	IGKJ1	8.0
29	6146	[0.49389705061912537, 0.46692371368408203, 0.09874486178159714, 1.2572627067565918, -0.15602155029773712, 0.6629658341407776, 0.3596894443035126, -0.26935723423957825, 0.31098487973213196, -0.13149802386760712]	0.15	IGKV1	IGKJ1	9.0
30	6164	[0.07368025183677673, 0.14820730686187744, 0.46829017996788025, 1.1072771549224854, -0.2687405049800873, 0.4562075138092041, 0.303751140832901, -0.030785808339715004, 0.7180011868476868, 0.162406325340271]	0.15	IGKV1	IGKJ1	9.0
31	6175	[0.18783706426620483, -0.13391269743442535, 0.03189573809504509, 1.041994571685791, 0.054579541087150574, 0.34748613834381104, 0.38422372937202454, 0.11458086222410202, -0.08611336350440979, 0.2748399078845978]	0.15	IGKV1	IGKJ1	9.0
32	6183	[-0.15273454785346985, 0.3984380066394806, 0.05657821148633957, 1.2761479616165161, 0.06916707009077072, 1.0077379941940308, 0.4020980894565582, 0.2565121054649353, 0.45814529061317444, 0.09802323579788208]	0.15	IGKV1	IGKJ1	9.0
33	6188	[0.0845746099948883, -0.4648228585720062, 0.05732354894280434, 0.9801523089408875, 0.28621622920036316, 0.3323300778865814, 0.26211968064308167, 0.13384923338890076, 0.09318161010742188, 0.20264966785907745]	0.15	IGKV1	IGKJ1	9.0
34	6194	[0.09905794262886047, -0.38150978088378906, -0.13344186544418335, 0.8178855180740356, 0.4691131114959717, 0.4117949903011322, 0.5733050107955933, -0.23857183754444122, 0.14783607423305511, -0.13591568171977997]	0.15	IGKV1	IGKJ1	9.0
35	6209	[0.2771579921245575, 0.27249130606651306, 0.15672209858894348, 0.9956000447273254, 0.14811807870864868, 0.22057084739208221, 0.5540012717247009, 0.08525609225034714, 0.08743039518594742, -0.2008235603570938]	0.15	IGKV1	IGKJ1	9.0
36	6223	[0.320436030626297, 0.10500603169202805, 0.24085770547389984, 0.9174519777297974, 0.22698476910591125, 0.5914118885993958, 0.7782147526741028, 0.017341218888759613, 0.08642718940973282, -0.33728450536727905]	0.15	IGKV1	IGKJ1	9.0
37	6253	[-0.23305682837963104, -0.24682915210723877, 0.3880787491798401, 0.9731548428535461, -0.06936340034008026, 0.3028506636619568, 0.4311285614967346, 0.18296106159687042, 0.23860959708690643, 0.0871361494064331]	0.15	IGKV1	IGKJ1	9.0
38	6275	[0.39139464497566223, 0.07420943677425385, -0.11666455119848251, 1.175793170928955, -0.08201262354850769, 0.39715829491615295, 0.2300596535205841, -0.045626599341630936, 0.061783529818058014, -0.6420348286628723]	0.15	IGKV1	IGKJ1	9.0
39	6285	[-0.08043115586042404, -0.45821619033813477, -0.2638494074344635, 0.8458688259124756, 0.2943296432495117, 0.5282763242721558, 0.5481633543968201, -0.09438929706811905, 0.34136509895324707, 0.046057119965553284]	0.15	IGKV1	IGKJ1	9.0
40	6297	[0.11517014354467392, -0.12967832386493683, 0.4096422791481018, 1.020444631576538, 0.3588251769542694, 0.8563668131828308, 0.5286945104598999, -0.022195935249328613, 0.3492414355278015, 0.15649627149105072]	0.15	IGKV1	IGKJ1	9.0
41	6309	[-0.05522185564041138, -0.5204182267189026, 0.1509011834859848, 1.0124043226242065, 0.24458056688308716, 0.42133060097694397, 0.2575160562992096, 0.34168437123298645, 0.06590960174798965, 0.4602173864841461]	0.15	IGKV1	IGKJ1	9.0
42	6315	[0.07471741735935211, 0.08010479062795639, 0.14863631129264832, 1.1201057434082031, 0.2851991653442383, 0.7620682716369629, 0.5238809585571289, 0.3878929018974304, 0.031117180362343788, 0.0750826820731163]	0.15	IGKV1	IGKJ1	9.0
43	6369	[0.33829158544540405, -0.05870254710316658, 0.023817861452698708, 1.0933783054351807, -0.2399977147579193, 0.8354724645614624, 0.5698032379150391, -0.16250118613243103, 0.34325599670410156, -0.28155145049095154]	0.15	IGKV1	IGKJ1	9.0
44	6370	[0.6785061955451965, 0.3340149521827698, 0.2249644547700882, 1.547621726989746, -0.39538484811782837, 1.0176228284835815, -0.14631445705890656, -0.46032625436782837, 0.4710560441017151, 0.43909400701522827]	0.15	IGKV1	IGKJ1	9.0
45	6372	[0.17166437208652496, 0.45442667603492737, 0.15783970057964325, 1.1581032276153564, 0.12699468433856964, 0.7161673903465271, 0.36083275079727173, -0.23960387706756592, 0.23948277533054352, -0.23698651790618896]	0.15	IGKV1	IGKJ1	9.0
46	6443	[-0.1699327528476715, -0.248686745762825, 0.5295701026916504, 0.9485602378845215, 0.13638301193714142, 0.23397620022296906, 0.584989607334137, 0.30328604578971863, -0.09270372241735458, -0.03888833895325661]	0.15	IGKV1	IGKJ1	9.0
47	6444	[0.6640691757202148, 0.39011818170547485, 0.39721542596817017, 1.2718861103057861, -0.3528643846511841, 0.6280520558357239, 0.329007625579834, -0.13293412327766418, 0.21332275867462158, 0.11052250862121582]	0.15	IGKV1	IGKJ1	9.0
48	6475	[-0.008554637432098389, 0.09863512963056564, -0.2232043743133545, 1.1328039169311523, 0.3889492154121399, 0.03823333606123924, 0.6017118096351624, 0.13211439549922943, 0.2853425443172455, 0.15917475521564484]	0.15	IGKV1	IGKJ1	9.0
49	6486	[0.2759542465209961, -0.06673923134803772, 0.39092013239860535, 0.8091654777526855, 0.09171508997678757, 0.12791873514652252, 0.793354332447052, 0.1363796442747116, 0.2553141415119171, -0.021650023758411407]	0.15	IGKV1	IGKJ1	9.0
50	15646	[0.1447308361530304, -0.09689929336309433, 0.03815847262740135, 0.8939841389656067, 0.047986555844545364, 0.3273770809173584, 0.534782350063324, -0.00892636924982071, 0.1134074255824089, 0.22999922931194305]	0.15	IGKV1	IGKJ1	10.0
51	15647	[0.08953186124563217, -0.3324333131313324, 0.06731732189655304, 0.786163330078125, 0.24343852698802948, 0.27463498711586, 0.7095931172370911, 0.18970508873462677, 0.0820268839597702, 0.04560961574316025]	0.15	IGKV1	IGKJ1	10.0
52	15656	[0.15358470380306244, -0.27440404891967773, 0.2194017916917801, 0.9450308084487915, 0.2861440181732178, 0.265605092048645, 0.4043353199958801, 0.23964805901050568, 0.11126096546649933, 0.15822169184684753]	0.15	IGKV1	IGKJ1	10.0
53	15661	[0.054625701159238815, -0.25316122174263, 0.08542664349079132, 1.013375163078308, 0.1776474565267563, 0.30078861117362976, 0.3625122010707855, 0.19234000146389008, 0.13348647952079773, -0.290109783411026]	0.15	IGKV1	IGKJ1	10.0
54	15667	[0.1326356679201126, -0.24389097094535828, 0.17310330271720886, 0.8545215725898743, 0.42317885160446167, 0.608037531375885, 0.6558337211608887, -0.18389329314231873, 0.2945200502872467, -0.06576718389987946]	0.15	IGKV1	IGKJ1	10.0
55	15672	[0.1717892736196518, 0.05887576937675476, 0.17596468329429626, 1.1038153171539307, 0.4668310582637787, 0.560556948184967, 0.4166702628135681, 0.00818982720375061, -0.09192858636379242, -0.24983376264572144]	0.15	IGKV1	IGKJ1	10.0
56	15676	[0.5530819296836853, 0.428726464509964, 0.38695359230041504, 1.4047101736068726, 0.03231741115450859, 0.7519729733467102, 0.1625252515077591, -0.5692555904388428, 0.2812436819076538, 0.22196395695209503]	0.15	IGKV1	IGKJ1	10.0
57	15725	[0.4551372528076172, 0.23123355209827423, 0.36288830637931824, 0.9679707884788513, 0.20260734856128693, 0.06963808089494705, 0.829658031463623, 0.19030894339084625, 0.29166072607040405, -0.302043080329895]	0.15	IGKV1	IGKJ1	10.0
58	15741	[0.0354216992855072, -0.2799987494945526, 0.9105836153030396, 1.0730922222137451, 0.4855523109436035, 0.11202773451805115, 0.6247918605804443, 0.8590334057807922, 0.6411440372467041, -0.7031164765357971]	0.15	IGKV1	IGKJ1	10.0
59	15779	[-0.40187883377075195, -0.5879639387130737, 0.7165511846542358, 1.2082130908966064, 0.5204989314079285, 0.20699374377727509, 0.3848623037338257, 0.7111964821815491, 0.39382681250572205, -0.6111189723014832]	0.15	IGKV1	IGKJ1	10.0
60	15804	[0.09609174728393555, -0.13823221623897552, 0.16462929546833038, 0.9483689069747925, 0.22829273343086243, 0.5986153483390808, 0.5915647745132446, 0.3129458725452423, 0.05760724097490311, -0.1768473982810974]	0.15	IGKV1	IGKJ1	10.0
61	15808	[0.02386488765478134, -0.42448753118515015, 0.793690025806427, 0.9940572381019592, 0.44141748547554016, 0.10850323736667633, 0.7131000757217407, 0.6477859020233154, 0.31401297450065613, -0.6840581297874451]	0.15	IGKV1	IGKJ1	10.0
62	15813	[0.23052874207496643, -0.04310251772403717, 0.10129568725824356, 0.8572234511375427, 0.14963291585445404, 0.5873100757598877, 0.7822113037109375, 0.2372024953365326, 0.259063184261322, 0.07986687123775482]	0.15	IGKV1	IGKJ1	10.0
63	19797	[0.10611896216869354, -0.008449003100395203, 0.24411527812480927, 1.0343152284622192, 0.11280206590890884, 0.5153059959411621, 0.4173836410045624, 0.32612353563308716, 0.3238518238067627, 0.08815167844295502]	0.15	IGKV1	IGKJ1	11.0
64	19803	[0.13574720919132233, 0.2821365296840668, 0.21347682178020477, 1.1953219175338745, 0.3987670838832855, 0.8081914186477661, 0.392426073551178, 0.1648702770471573, 0.3136383891105652, 0.08518397808074951]	0.15	IGKV1	IGKJ1	11.0
65	19804	[-0.02513129636645317, -0.24284246563911438, 0.6028200387954712, 1.1537997722625732, 0.2852945029735565, 0.07224434614181519, 0.6022999882698059, 1.0318400859832764, 0.5029901266098022, -0.5837883353233337]	0.15	IGKV1	IGKJ1	11.0
66	19848	[-0.016312887892127037, 0.2104497253894806, 0.1999308317899704, 1.220918893814087, 0.21477684378623962, 0.7109950184822083, 0.2879907786846161, 0.29006654024124146, 0.45406055450439453, 0.2653581500053406]	0.15	IGKV1	IGKJ1	11.0
67	19861	[0.008542058989405632, 0.23068392276763916, 0.1297503262758255, 1.1477752923965454, 0.06582481414079666, 0.8063796758651733, 0.640129566192627, 0.21765685081481934, 0.14004375040531158, 0.020532963797450066]	0.15	IGKV1	IGKJ1	11.0
68	20980	[0.05332530662417412, -0.24171824753284454, 0.1492961198091507, 0.9901947975158691, 0.07964129745960236, 0.2644375264644623, 0.43710434436798096, 0.42200398445129395, 0.21985505521297455, 6.280249363044277e-05]	0.15	IGKV1	IGKJ1	13.0
69	21076	[0.20739366114139557, -0.44640612602233887, -0.00033972164965234697, 1.0976632833480835, 0.23116309940814972, 0.10336985439062119, 0.216344952583313, -0.28731927275657654, -0.3415158987045288, -0.5902181267738342]	0.15	IGKV1	IGKJ2	5.0
70	21090	[0.06753378361463547, -0.007155932020395994, 0.2692956030368805, 0.8659092783927917, 0.014120690524578094, 0.13992547988891602, 0.4601902663707733, 0.05986433103680611, 0.04639222100377083, 0.06567257642745972]	0.15	IGKV1	IGKJ2	5.0
71	21093	[0.3575952649116516, 0.07386604696512222, -0.0069220601581037045, 1.0866575241088867, -0.0562884695827961, 0.4522183835506439, 0.32237881422042847, 0.026650721207261086, 0.06351064145565033, -0.4119853377342224]	0.15	IGKV1	IGKJ2	5.0
72	21121	[0.28267234563827515, -0.021500037983059883, -0.3562523424625397, 1.0073782205581665, -0.33955925703048706, -0.6679555177688599, 0.3617992699146271, -0.046948667615652084, 0.3037652373313904, 0.18838979303836823]	0.15	IGKV1	IGKJ2	5.0
73	21445	[0.3553098738193512, -0.4118300974369049, 0.10084481537342072, 1.1395537853240967, 0.20636017620563507, 0.5881279706954956, -0.10590966045856476, 0.3081966042518616, 0.3449139893054962, 0.30166178941726685]	0.15	IGKV1	IGKJ2	6.0
74	21470	[-0.16292501986026764, -0.13457778096199036, 0.07459569722414017, 0.8481577038764954, 0.019670996814966202, 0.16252964735031128, 0.5540913939476013, 0.4248533844947815, 0.23314908146858215, 0.01556769572198391]	0.15	IGKV1	IGKJ2	6.0
75	21645	[0.09034718573093414, -0.05003270506858826, 0.23056116700172424, 0.8687236905097961, 0.2610051929950714, 0.36623018980026245, 0.7379624247550964, 0.3762698173522949, -0.03237593546509743, 0.03165716677904129]	0.15	IGKV1	IGKJ2	7.0
76	21653	[0.08430074155330658, 0.2912329137325287, 0.2996227741241455, 1.1799675226211548, 0.1748475283384323, 0.9793062210083008, 0.7096341848373413, -0.19781717658042908, -0.09377078711986542, 0.07137547433376312]	0.15	IGKV1	IGKJ2	7.0
77	21951	[0.6730939745903015, 0.7628575563430786, 0.4698604643344879, 1.5909392833709717, -0.08687634766101837, 0.9816913604736328, 0.11664799600839615, -0.8216626048088074, 0.3033691942691803, 0.3457789421081543]	0.15	IGKV1	IGKJ2	8.0
78	22021	[-0.15960106253623962, -0.18881191313266754, 0.5790619254112244, 0.9502170085906982, 0.18445707857608795, 0.19118285179138184, 0.5855650305747986, 0.276909738779068, -0.05206114426255226, 0.057200539857149124]	0.15	IGKV1	IGKJ2	8.0
79	23604	[0.2691356837749481, 0.5536688566207886, 0.43740734457969666, 1.1594276428222656, 0.3017672002315521, 0.3858491778373718, 0.776374101638794, 0.0024342271499335766, 0.3028082549571991, -0.1764286458492279]	0.15	IGKV1	IGKJ2	9.0
80	23617	[0.46097689867019653, 0.6362642049789429, 0.2918514609336853, 1.2928191423416138, -0.197596475481987, 0.8717166781425476, 0.2716800272464752, -0.44630128145217896, 0.4037840962409973, 0.07183656841516495]	0.15	IGKV1	IGKJ2	9.0
81	23640	[0.155336394906044, -0.1862879991531372, 0.09310146421194077, 0.9865047335624695, 0.17210082709789276, 0.18705053627490997, 0.49437227845191956, 0.3608784079551697, -0.17467203736305237, 0.10786857455968857]	0.15	IGKV1	IGKJ2	9.0
82	23642	[0.3351592719554901, 0.09791158139705658, -0.14377623796463013, 1.1684883832931519, 0.052733831107616425, 0.22792604565620422, 0.22127826511859894, 0.0062718805857002735, -0.02414129301905632, -0.5458934307098389]	0.15	IGKV1	IGKJ2	9.0
83	23662	[0.06761260330677032, -0.2400878220796585, 0.03781787306070328, 0.8225774765014648, 0.24134691059589386, 0.1732916235923767, 0.5309955477714539, 0.0235778596252203, 0.23380737006664276, -0.02656717598438263]	0.15	IGKV1	IGKJ2	9.0
84	23672	[0.06569094955921173, -0.3272223174571991, 0.1814630627632141, 0.8544394373893738, 0.6582909822463989, 0.27066078782081604, 0.5925767421722412, -0.1527142971754074, 0.04974536597728729, 0.031157540157437325]	0.15	IGKV1	IGKJ2	9.0
85	23683	[0.2252495288848877, 0.08676517009735107, 0.10439586639404297, 1.0859689712524414, -0.22017014026641846, 0.34029313921928406, 0.38974741101264954, 0.46443960070610046, 0.15720076858997345, -0.014066058211028576]	0.15	IGKV1	IGKJ2	9.0
86	23685	[0.34225931763648987, 0.003252527443692088, 0.12686187028884888, 1.037756085395813, 0.051135968416929245, 0.4445076286792755, 0.42804086208343506, -0.07128382474184036, 0.03685377538204193, -0.12708677351474762]	0.15	IGKV1	IGKJ2	9.0
87	23692	[0.03943081945180893, -0.23431241512298584, 0.16887013614177704, 0.8545745611190796, 0.39059028029441833, 0.31886452436447144, 0.7057634592056274, 0.22883906960487366, -0.06963430345058441, 0.1209169253706932]	0.15	IGKV1	IGKJ2	9.0
88	23705	[-0.034486886113882065, 0.4670839309692383, 0.2947661578655243, 1.0958200693130493, 0.2886463701725006, 0.8447320461273193, 0.6565974354743958, 0.216288760304451, 0.30344441533088684, 0.11101938039064407]	0.15	IGKV1	IGKJ2	9.0
89	23719	[-0.042507823556661606, 0.05388621613383293, 0.23056574165821075, 1.1547191143035889, 0.22616791725158691, 0.9156917929649353, 0.2815537750720978, 0.22551791369915009, 0.48571038246154785, 0.20275239646434784]	0.15	IGKV1	IGKJ2	9.0
90	23730	[0.3138378858566284, 0.3395977318286896, 0.26270654797554016, 0.9686688184738159, -0.039786603301763535, 0.05909046530723572, 0.8232349157333374, 0.152936190366745, 0.3672352433204651, -0.18188630044460297]	0.15	IGKV1	IGKJ2	9.0
91	23735	[0.2602419853210449, 0.12017031013965607, 0.3970460891723633, 1.1202017068862915, 0.13537922501564026, 0.03047383762896061, 0.4367261826992035, 0.19932979345321655, -0.25213128328323364, 0.020361004397273064]	0.15	IGKV1	IGKJ2	9.0
92	23750	[0.3248872458934784, 0.664522111415863, 0.28402602672576904, 1.258097529411316, -0.006754125934094191, 1.0085428953170776, 0.5758052468299866, -0.37301042675971985, 0.21280382573604584, 0.3823520839214325]	0.15	IGKV1	IGKJ2	9.0
93	23823	[-0.36930549144744873, -0.06949052959680557, 0.7528488636016846, 1.1733616590499878, 0.32772284746170044, -0.016453199088573456, 0.583332359790802, 0.6456824541091919, 0.5311560034751892, -0.8495042324066162]	0.15	IGKV1	IGKJ2	9.0
94	29426	[0.1913609653711319, -0.23522257804870605, -0.00227047479711473, 1.1084661483764648, 0.4013488292694092, 0.15757082402706146, 0.2501635253429413, -0.18985842168331146, -0.2099515199661255, -0.41110268235206604]	0.15	IGKV1	IGKJ2	10.0
95	29431	[0.012595771811902523, 0.18740837275981903, 0.294192373752594, 1.173940896987915, 0.48428651690483093, 0.7756285071372986, 0.3504842221736908, 0.16515307128429413, 0.38074779510498047, 0.14917658269405365]	0.15	IGKV1	IGKJ2	10.0
96	29438	[0.22775901854038239, -0.26548439264297485, -0.10795290023088455, 0.9070806503295898, -0.056970950216054916, 0.5657544732093811, 0.6850394606590271, 0.27786651253700256, 0.08033887296915054, -0.18890736997127533]	0.15	IGKV1	IGKJ2	10.0
97	29465	[0.05602116137742996, 0.2200297862291336, 0.12470720708370209, 0.971187949180603, 0.33092957735061646, 0.6039086580276489, 0.6868225336074829, 0.010115593671798706, 0.05078975111246109, -0.031150510534644127]	0.15	IGKV1	IGKJ2	10.0
98	29522	[0.3571547567844391, -0.08313748985528946, 0.25132256746292114, 0.9798505902290344, 0.0777626484632492, 0.20227210223674774, 0.44670215249061584, 0.31327947974205017, -0.03686852008104324, 0.1395612508058548]	0.15	IGKV1	IGKJ2	10.0
99	29524	[0.09316406399011612, -0.06161930039525032, -0.02051706798374653, 1.3896992206573486, 0.5219249725341797, 1.0414214134216309, 0.13316084444522858, 0.38394680619239807, 0.06731638312339783, 0.3410298526287079]	0.15	IGKV1	IGKJ2	10.0
100	29558	[0.41572245955467224, -0.20954564213752747, 0.1797408163547516, 0.9937674403190613, -0.2164420634508133, 0.11329887807369232, 0.398143470287323, 0.516870379447937, 0.1839148998260498, 0.15963271260261536]	0.15	IGKV1	IGKJ2	10.0
101	29569	[-0.13852374255657196, -0.23618589341640472, 0.3496047556400299, 1.1057313680648804, 0.6090026497840881, 0.6333196759223938, 0.4767850637435913, 0.052539095282554626, -0.06293999403715134, -0.11499947309494019]	0.15	IGKV1	IGKJ2	10.0
102	33677	[0.04026831313967705, 0.0923275575041771, 0.1810043901205063, 1.3114545345306396, 0.5694156885147095, 0.8383113145828247, 0.1274958699941635, 0.18324583768844604, 0.16357237100601196, 0.28697025775909424]	0.15	IGKV1	IGKJ2	11.0
103	33685	[-0.01925746724009514, 0.28438234329223633, 0.19939987361431122, 1.199641466140747, 0.4122208058834076, 0.8133118748664856, 0.4808278977870941, 0.1679869145154953, 0.14752806723117828, 0.14790061116218567]	0.15	IGKV1	IGKJ2	11.0
104	33695	[0.11481355875730515, -0.2943554222583771, 0.687304675579071, 1.2601171731948853, 0.39162197709083557, 0.21007418632507324, 0.29590699076652527, 0.901188313961029, 0.5048887729644775, -0.4334970712661743]	0.15	IGKV1	IGKJ2	11.0
105	33709	[0.09034867584705353, -0.16687357425689697, 0.7768994569778442, 1.1541736125946045, 0.4609222412109375, 0.15151573717594147, 0.4801768660545349, 0.662813663482666, 0.42684412002563477, -0.5331408381462097]	0.15	IGKV1	IGKJ2	11.0
106	33726	[0.1792512685060501, 0.08184943348169327, 0.14077427983283997, 1.0679285526275635, 0.06930190324783325, 0.43261662125587463, 0.413070946931839, 0.3430211842060089, 0.29584047198295593, 0.14624463021755219]	0.15	IGKV1	IGKJ2	11.0
107	33760	[0.11833465844392776, -0.11874929070472717, 0.04059163108468056, 0.964701771736145, 0.2484154999256134, 0.5062595009803772, 0.653801679611206, 0.3910014033317566, -0.024745488539338112, 0.11047519743442535]	0.15	IGKV1	IGKJ2	11.0
108	33763	[0.03507399186491966, 0.22523637115955353, -0.02656651847064495, 1.31769859790802, 0.2666172683238983, 0.8369013667106628, 0.3519984781742096, 0.35683760046958923, 0.08269760757684708, 0.31609636545181274]	0.15	IGKV1	IGKJ2	11.0
109	35779	[0.4264264702796936, 0.23096267879009247, 0.23671038448810577, 1.0839742422103882, 0.09955773502588272, 0.32652896642684937, 0.4378637373447418, -0.016410937532782555, 0.05781320855021477, 0.3507189154624939]	0.15	IGKV1	IGKJ3	5.0
